ID,t_r_vodacom,t_w_vodacom,SAL_area,price_m2
1,47.375843,86.289238,.44431821,2123.5408
2,198.96779,278.36234,1.4570343,1576.8141
3,162.42056,189.60155,1.150455,1371.1787
4,139.17191,180.58063,.87523335,1931.2333
5,85.514267,99.539001,.58795381,1637.6437
6,28.414024,34.792942,.23047484,1939.2549
7,24.090157,30.393581,.20929448,1570.9561
8,150.19174,240.18462,.7478168,1607.0836
9,40.968243,68.704361,.19458966,1369.0718
10,76.535591,119.9894,.37822476,1469.2477
11,230.82237,367.30942,1.616722,1056.8087
12,63.059765,73.368584,.40260932,49.068062
13,385.10037,544.4328,1.4320084,2231.9556
14,576.22455,722.90643,1.7865357,1772.4194
15,516.86914,612.52448,1.8884144,1904.3898
16,107.02882,136.52795,.66011304,2284.532
17,4.2230515,14.194695,.084049948,4126.3765
18,6.2308464,14.319179,.68221289,4644.582
19,15.586953,35.820553,1.706609,1.7696769
20,667.12891,2357.0793,21.706656,10789.375
21,41.003933,137.00024,.90790451,4080.2444
22,8.0231485,26.967739,.15968201,4233.1909
23,14.183437,47.891472,.28561699,28230.615
24,.65201998,1.7043242,.054037929,2466.4941
25,2.6222277,9.9414635,.044197343,5890.811
26,6.2247038,23.599272,.10491667,8974.9102
27,.56649953,2.1477289,.0095482897,7094.751
28,.77905369,2.9609563,.61737615,4982.3228
29,2.6944091,10.215119,.045413949,11523.218
30,1.7708918,6.7138548,.029848177,7724.9585
31,11.484976,43.54216,.1935779,7014.3101
32,476.1304,1123.0261,2.4443831,3545.3936
33,436.76389,1273.9908,.78786546,5113.2915
34,281.31149,693.66022,1.1578408,58.71484
35,284.25064,741.51556,1.1458862,4121.4214
36,3411.2554,9766.2754,3.7902777,25030.361
37,282.8334,868.26721,1.0131077,3086.459
38,352.50851,773.40961,1.7331998,5744.0981
39,314.07257,683.94226,1.6237212,5203.4663
40,35.393658,72.154144,.33229291,21785.658
41,61.830524,137.75104,.21651466,5878.124
42,411.68057,1724.0065,2.3139665,5538.3574
43,738.25726,2163.2048,2.2860796,5633.1387
44,398.79996,1307.1436,4.0252724,324.80225
45,74.200439,123.81742,.44083977,4594.499
46,143.00931,250.24478,.89047945,8244.8457
47,380.39313,855.48834,2.9765439,12894.719
48,42.145985,101.18223,.23269552,2765.2329
49,5.9496546,19.358694,.07328894,2314.8191
50,389.43692,3.9195647,.036813151,1608.6227
51,12.928093,52.640671,.088898659,7641.1909
52,99.918083,348.52881,.2047582,1949.7811
53,227.23987,691.28998,1.0597486,3479.668
54,501.27203,1201.4719,2.1106083,4982.3228
55,190.47844,476.36465,.51369804,5968.0078
56,20.227081,48.856426,.11597928,6391.4414
57,1006.6434,2566.6604,3.313525,4582.6431
58,18.561316,56.691708,.13936748,3141.5361
59,16.985334,48.283257,.072340891,6309.7935
60,6.3304429,18.891266,.0279203,3250.2351
61,48.098766,187.83337,.2506443,7969.4629
62,239.07413,853.03821,.37012273,8126.9927
63,78.165855,388.43561,.4098596,6159.6699
64,129.72981,225.14626,.31064197,2647.1021
65,555.02972,1013.5038,1.4241098,2199.6948
66,571.48865,1032.2689,1.3859366,2651.6492
67,124.15782,215.17329,.29761562,2581.4353
68,134.60689,241.81522,.32905614,2624.4966
69,142.92747,259.17044,.35085422,2556.7471
70,41.048107,73.382889,.12375503,2691.1287
71,38.021523,69.293869,.12952457,4133.3472
72,18.88616,34.926323,.070045382,2396.8516
73,270.61465,479.39633,.71344596,4085.4814
74,490.95044,942.36853,1.2517514,3768.0613
75,593.9248,1136.4258,1.3958452,5364.8936
76,151.80841,305.0632,.7727347,2151.0669
77,133.7231,224.59384,.64164573,2271.7192
78,1079.2477,1692.6238,2.6394498,3119.5854
79,752.45605,1272.5175,1.9029319,3343.7607
80,591.94019,1178.9292,1.5096034,22568.49
81,760.20538,2395.5176,3.131058,9928.4854
82,181.64272,661.78461,.79001647,2238.1536
83,1950.498,6037.585,4.4997687,18096.379
84,173.85677,575.7356,.77160293,12321.874
85,2028.9954,5781.7505,8.4888153,8370.6035
86,1313.0457,3699.4771,4.0037842,12833.814
87,1001.5351,3103.9536,1.6010532,15991.508
88,384.64218,1915.2582,.62932688,5960.2651
89,4349.5654,12099.379,9.3082352,15549.875
90,3142.2725,10068.601,39.220661,.76214117
91,274.52615,794.42285,.67696291,9784.9473
92,39.171127,110.38297,.39737305,7718.8965
93,441.52826,1159.3616,13.233158,1.9597169
94,349.37604,903.53827,3.2514284,.19544151
95,2752.4412,6955.7803,240.07935,19.151361
96,291.76538,465.85526,1.3000455,1458.1591
97,458.15335,617.2912,2.3672729,1697.3235
98,498.98892,952.987,1.3059757,1751.9509
99,141.46753,256.99445,.44493821,2908.9978
100,150.07774,206.27237,.68163711,1948.0702
101,202.71423,400.33405,.45089728,2420.6956
102,685.79474,1294.7825,4.2006397,13412.378
103,194.26207,323.05804,.92473423,2994.2566
104,2036.6655,4142.3018,32.300007,8593.582
105,33.744038,59.585999,.87378263,2468.6428
106,6.8869762,11.178781,.30092022,8057.7275
107,22.100498,51.383389,.24436752,6870.6528
108,78.700775,201.41876,.32020354,5067.6284
109,88.993561,213.41782,.27473,6445.0156
110,172.97003,396.92456,1.786533,12698.854
111,9.6986294,8.9269562,2.6859155,710.69659
112,1846.6971,3627.908,383.21689,100.3344
113,10441.79,21039.633,717.19208,10481.273
114,4288.7598,7837.9536,137.38385,9135.918
115,24.566225,30.718493,.71862918,399.63596
116,74.323013,94.509476,3.0870695,1209.9073
117,67.44857,87.865929,1.8800601,1135.6913
118,88.431152,149.86365,1.5369353,958.43835
119,291.21109,444.33548,3.3293252,1700.4808
120,415.02411,687.50177,11.446971,4982.3228
121,404.29071,914.37646,15.067809,46264.613
122,127.24173,185.83368,1.9192675,1483.8965
123,87.326904,146.29742,1.8215666,1446.0469
124,7.5971742,10.94224,.47786999,916.62872
125,14.240329,20.510403,.89573121,1507.5009
126,1233.451,2215.6133,85.079407,33.474258
127,.79164869,1.7604938,.61974913,2446.7268
128,189.6682,447.05518,19.332249,4982.3228
129,49.185028,114.71442,12.191017,11.283591
130,47.481838,111.60681,2.2526407,2790.3806
131,43.494129,101.37073,1.644119,5439.5747
132,729.91931,1627.2875,15.956003,8552.1982
133,3.4638674,9.5097027,3.1551247,476.11444
134,6.998373,11.353488,2.1078119,285.00354
135,6.399673,20.876015,.73919749,4982.3228
136,11.73095,20.293665,.83290988,795.92889
137,1.564633,2.7066977,.1110906,994.35449
138,175.61484,427.96878,7.4887128,4982.3228
139,352.07193,556.72272,1.3141462,14634.194
140,1023.7141,1554.2952,2.015528,12255.549
141,451.28787,726.5437,1.6718113,9357.4785
142,130.1498,192.90659,.71307874,8687.4531
143,1544.5,2490.4297,2.4940114,5147.6904
144,1081.653,1786.0294,3.5663421,7121.356
145,316.42984,485.96603,2.2962875,7080.3257
146,249.42009,379.96042,1.0972017,3902.041
147,552.49463,914.71088,1.4334874,2623.4561
148,16.407316,24.703817,.030924438,54.590019
149,272.86075,537.90918,.81846792,6278.2705
150,176.33734,348.03986,.3384071,9486.7393
151,2652.7056,5027.9287,8.8739223,10665.891
152,91.781357,138.13817,.48281389,5107.811
153,192.49431,308.49081,.73773992,5529.9043
154,64.216652,131.88406,.29123577,11028.539
155,491.26944,969.8595,1.6830075,1220
156,481.5033,1029.2478,1.5788997,4151.8687
157,516.38055,1346.7366,3.0895081,755.62714
158,323.77426,629.1474,1.1094806,9648.377
159,428.47858,752.25824,1.8000779,5137.71
160,1419.5037,2996.5178,8.4458246,.95593339
161,117.07339,280.64215,.67905933,7888.1006
162,1301.4515,3195.3772,5.7348585,10605.567
163,1160.6974,4048.6501,6.1282001,5078.187
164,1442.4551,2744.1377,5.8890901,3374.019
165,169.87192,313.69589,1.1384041,4982.3228
166,171.93707,300.93539,1.4972104,7530.5151
167,51.732334,117.82996,.24487382,10539.315
168,221.67618,505.41086,.94143659,467.14075
169,94.078568,214.00835,.34698692,17669.365
170,734.47015,2355.2861,2.6698315,6121.0596
171,197.34392,489.336,.36446413,1444.6803
172,224.17728,558.03717,.49428597,4189.6938
173,1236.8099,2570.8408,5.8109016,5679.1309
